city,slug,lng,lat,rank,population,pop2026,pop2025,pop2020,pop2010,growth,densityMi,areaMi,1 Pair of Jeans (Levis 501 Or Similar),1 Pair of Men Leather Business Shoes,1 Pair of Nike Running Shoes (Mid-Range),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),Apartment (1 bedroom) Outside of Centre,Apartment (1 bedroom) in City Centre,Apartment (3 bedrooms) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apples (1kg),Average Monthly Net Salary (After Tax),Banana (1kg),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",Beef Round (1kg) (or Equivalent Back Leg Red Meat),Bottle of Wine (Mid-Range),Cappuccino (regular),"Chicken Breasts (Boneless, Skinless), (1kg)",Cigarettes 20 Pack (Marlboro),"Cinema, International Release, 1 Seat",Coke/Pepsi (0.33 liter bottle),Domestic Beer (0.5 liter bottle),Domestic Beer (0.5 liter draught),Eggs (regular) (12),"Fitness Club, Monthly Fee for 1 Adult",Gasoline (1 liter),Imported Beer (0.33 liter bottle),"International Primary School, Yearly for 1 Child","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Lettuce (1 head),Loaf of Fresh White Bread (500g),Local Cheese (1kg),McMeal at McDonalds (or Equivalent Combo Meal),"Meal for 2 People, Mid-range Restaurant, Three-course","Meal, Inexpensive Restaurant","Milk (regular), (1 liter)",Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",One-way Ticket (Local Transport),Onion (1kg),Oranges (1kg),Potato (1kg),"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",Price per Square Meter to Buy Apartment Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,"Rice (white), (1kg)",Taxi 1hour Waiting (Normal Tariff),Taxi 1km (Normal Tariff),Taxi Start (Normal Tariff),Tennis Court Rent (1 Hour on Weekend),Tomato (1kg),Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),Volkswagen Golf,Water (0.33 liter bottle) ,Water (1.5 liter bottle),pop_growth_2010_2020,pop_growth_2020_2025,density_calc,avg_cost_of_living,max_cost_metric,state_California,state_Illinois,state_Massachusetts,state_Nevada,state_New York,state_Oregon,state_Texas,state_Washington
Austin,texas/austin,-97.7541,30.2986,12,1007435,1007435,1000511,965893,790390,0.00704,3100,325.013,39.01,88.55,67.69,33.93,0.09,995.9,1581.66,1714.92,2750.15,4.02,4097.92,1.04,124.12,10.6,10.78,3.95,7.26,6.06,10.78,1.87,2.14,4.49,2.24,34.53,0.56,4.195,17537.93,55.38,1.45,2.4,9.01,7.19,44.92,13.48,0.75,37.06,4.09,1.12,1.82,3.58,2.25,890.67,1955.36,3919.75,2.6,26.06,1.51,2.25,14.6,3.19,18743.38,19627.4,1.37,1.38,0.22204607851819988,0.035840408823751696,3099.676012959482,1379.8223148148147,19627.4,False,False,False,False,False,False,True,False
Boston,massachusetts/boston,-71.0182,42.3386,25,691168,691168,682313,675522,617594,0.00382,14298,48.34,43.34,91.75,71.03,27.76,0.08,1716.68,2275.95,2503.07,3574.7,3.96,4132.08,1.39,119.59,14.07,13.02,3.6,11.0,9.88,13.47,1.75,2.01,6.29,2.34,51.97,0.66,4.525,24642.48,61.7,1.68,2.62,12.75,7.18,62.85,13.47,0.78,80.81,4.22,2.22,3.4,4.17,1.79,1534.76,4036.93,8867.39,3.68,25.14,1.67,2.69,15.39,5.14,18411.02,19789.8,1.53,1.58,0.09379624802054425,0.010052966446688636,14298.055440628877,1709.1630555555557,24642.48,False,False,True,False,False,False,False,False
Chicago,illinois/chicago,-87.6849,41.837,3,2709364,2709364,2715336,2745196,2695598,-0.00219,11896,227.748,45.28,96.56,73.0,35.06,0.16,1100.17,1702.25,1953.12,3168.97,4.47,3717.02,1.47,117.08,12.4,12.57,3.69,9.53,11.67,11.67,1.75,1.82,4.94,2.05,42.52,0.74,4.085,15972.64,57.23,1.42,2.54,9.95,7.18,53.87,13.47,0.7,94.28,4.23,2.24,2.39,3.69,2.22,1025.73,1816.95,3656.41,3.92,21.55,1.26,2.92,23.05,3.52,18842.65,19614.71,1.52,2.08,0.01839962783768203,-0.010877183268517075,11896.324007236068,1358.8586111111113,19614.71,False,True,False,False,False,False,False,False
Dallas,texas/dallas,-96.7665,32.7933,9,1337417,1337417,1331752,1303426,1197816,0.0043,3937,339.676,36.03,89.32,70.62,39.5,0.13,961.01,1322.45,1607.56,2476.25,3.7,4202.0,1.07,139.51,9.9,10.78,3.46,9.1,6.29,10.78,1.69,2.18,4.49,1.85,32.58,0.56,3.985,16891.52,59.67,1.28,2.2,6.88,6.51,44.92,13.48,0.64,86.25,4.19,2.7,1.99,3.04,1.81,800.09,1391.52,2375.25,3.54,18.42,1.06,2.94,2.99,2.87,17561.12,17071.22,1.42,1.41,0.08816880055033495,0.02173195869961164,3937.3314570355283,1248.2912037037038,17561.12,False,False,False,False,False,False,True,False
Houston,texas/houston,-95.3888,29.7857,4,2435715,2435715,2412920,2298945,2099451,0.00968,3801,640.819,36.88,86.21,61.38,33.83,0.13,859.49,1258.81,1494.14,2166.31,3.19,3568.78,1.25,122.34,9.17,10.78,4.03,6.45,6.29,9.7,1.81,2.06,5.39,1.92,32.13,0.57,4.185,18762.48,54.13,1.15,2.03,8.0,6.74,53.91,13.48,0.68,44.25,4.14,1.12,1.59,3.1,1.95,806.88,1047.43,1989.15,3.09,21.56,1.54,2.52,10.14,2.07,18944.36,20170.99,1.59,1.38,0.09502198431875762,0.04957708862108489,3800.9406712347795,1328.679166666667,20170.99,False,False,False,False,False,False,True,False
Las Vegas,nevada/las-vegas,-115.264,36.2335,24,694501,694501,686711,647763,583756,0.01168,4896,141.862,39.76,82.55,66.91,30.57,0.19,874.56,992.86,1339.05,1665.0,2.86,3132.38,1.32,138.51,10.05,11.63,3.65,5.68,7.17,10.77,1.45,1.88,5.39,1.64,23.03,0.76,4.505,12507.1,64.64,1.27,1.81,7.05,7.18,53.87,13.47,0.7,58.36,4.31,1.8,1.79,2.34,2.17,786.6,1509.67,1935.47,2.98,29.09,1.54,3.14,21.05,2.99,19092.7,18856.43,1.06,1.05,0.10964683874769596,0.06012692913920678,4895.609817992134,1174.5510185185185,19092.7,False,False,False,True,False,False,False,False
Los Angeles,california/los-angeles,-118.411,34.0194,2,3869891,3869891,3874297,3896329,3792621,-0.00113,8225,470.518,44.31,94.26,70.02,30.85,0.11,1564.78,1980.11,2696.53,3611.37,3.93,3968.48,1.81,111.99,11.6,10.77,4.01,9.9,8.87,13.47,2.03,1.68,5.39,2.91,36.78,0.94,4.265000000000001,19335.55,55.74,1.25,2.99,9.48,7.18,58.36,13.47,0.87,89.79,4.13,1.57,1.82,2.73,2.36,951.17,4434.17,7026.01,3.25,26.21,1.67,2.69,10.56,2.98,18702.58,19753.89,1.59,1.77,0.027344677994452914,-0.005654553298758909,8224.745918328312,1570.3147222222224,19753.89,True,False,False,False,False,False,False,False
New York,new-york/new-york,-73.9387,40.6627,1,8346955,8346955,8412513,8740306,8175133,-0.00765,27778,300.483,47.04,113.98,75.39,34.37,0.09,1788.76,2854.26,3314.05,5574.89,5.63,4665.46,2.17,116.65,13.56,13.48,4.22,12.37,13.48,14.38,1.85,2.07,6.29,3.28,67.04,0.71,4.8100000000000005,34441.93,55.18,1.94,3.33,14.21,8.09,76.37,17.97,1.04,114.11,4.17,2.47,3.07,5.7,3.81,2106.38,6891.37,13179.53,5.7,26.95,1.59,2.7,30.1,5.33,18118.42,19627.4,1.59,2.07,0.06913318719096069,-0.03750360685312391,27778.460012712865,2101.903703703704,34441.93,False,False,False,False,True,False,False,False
Phoenix,arizona/phoenix,-112.09,33.5722,5,1703449,1703449,1688306,1612593,1445632,0.00918,3286,518.331,35.14,82.84,66.48,30.88,0.1,824.8,1092.25,1317.96,1657.74,2.93,3113.47,1.38,161.5,9.6,9.88,3.6,7.9,6.73,9.88,1.53,1.41,3.59,1.85,27.66,0.7,3.12,13498.49,67.23,1.06,2.18,9.65,6.73,53.87,10.77,0.51,57.47,4.2,1.8,1.91,3.03,1.99,678.35,1403.23,2150.04,4.53,32.32,1.24,2.92,7.38,3.19,18257.94,19156.78,1.07,1.62,0.11549343124667966,0.04695109057276076,3286.4115787016403,1183.267037037037,19156.78,False,False,False,False,False,False,False,False
Portland,oregon/portland,-122.65,45.5369,29,627040,627040,631394,653166,583776,-0.00678,4697,133.488,45.22,86.29,72.05,34.47,0.12,1045.69,1399.8,1769.49,2472.7,4.7,3403.15,1.3,150.98,14.63,12.58,3.85,9.98,6.29,10.78,1.78,1.83,4.49,2.62,39.9,0.77,3.8150000000000004,16387.06,60.86,1.47,2.83,12.78,6.74,44.92,12.58,0.78,89.85,4.18,2.25,1.9,3.22,1.78,1076.09,2371.28,3522.58,3.91,29.2,1.45,2.7,18.12,3.67,20494.34,21563.64,1.35,1.75,0.11886408485446473,-0.033333027132459433,4697.351072755603,1413.3806481481483,21563.64,False,False,False,False,False,True,False,False
